"Deal Name","Pipeline","Deal Stage","Amount","Close Date","Deal Description"
"412 Bombing Range Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","259000","","https://www.zillow.com/homedetails/412-Bombing-Range-Rd-Columbia-SC-29229/62990930_zpid/ | For Sale"
"404 Summit Sq, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","258900","","https://www.zillow.com/homedetails/404-Summit-Sq-Columbia-SC-29229/67618719_zpid/ | FSBO"
"19 Autumn Run Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","210000","","https://www.zillow.com/homedetails/19-Autumn-Run-Way-Columbia-SC-29229/55195435_zpid/ | For Sale"
"3405 Padgett Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","186000","","https://www.zillow.com/homedetails/3405-Padgett-Rd-Columbia-SC-29209/11735998_zpid/ | For Sale"
"828 Yellow Swan Ln, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","199999","","https://www.zillow.com/homedetails/828-Yellow-Swan-Ln-Columbia-SC-29210/350774597_zpid/ | Townhouse"
"20 Shuler Cir, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","213000","","https://www.zillow.com/homedetails/20-Shuler-Cir-Columbia-SC-29212/11190564_zpid/ | Townhouse"
"254 Sorrel Tree Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","242000","","https://www.zillow.com/homedetails/254-Sorrel-Tree-Dr-Columbia-SC-29223/461554622_zpid/ | For Sale"
"219 Dixon Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","179000","","https://www.zillow.com/homedetails/219-Dixon-Dr-Columbia-SC-29203/11712156_zpid/ | For Sale"
"2011 Lake Carolina Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/2011-Lake-Carolina-Dr-Columbia-SC-29229/88010280_zpid/ | For Sale"
"2584 Cherry St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","274900","","https://www.zillow.com/homedetails/2584-Cherry-St-Columbia-SC-29205/11687459_zpid/ | For Sale"
"1400 Cactus Ave, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","118000","","https://www.zillow.com/homedetails/1400-Cactus-Ave-Columbia-SC-29210/11671988_zpid/ | Townhouse"
"115 Mulberry Ln, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/115-Mulberry-Ln-Columbia-SC-29201/11675577_zpid/ | Townhouse"
"1033 Glencroft Drive, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","279000","","https://www.zillow.com/homedetails/1033-Glencroft-Dr-Columbia-SC-29210/92391323_zpid/ | For Sale | Agent: Century 21 Carolina Realty"
"118 Long Ridge Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","265000","","https://www.zillow.com/homedetails/118-Long-Ridge-Dr-Columbia-SC-29229/11740867_zpid/ | For Sale"
"1703 Alba Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","193500","","https://www.zillow.com/homedetails/1703-Alba-Dr-Columbia-SC-29209/11725116_zpid/ | For Sale"
"554 Wilkinson Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","280000","","https://www.zillow.com/homedetails/554-Wilkinson-Ln-Columbia-SC-29229/92386868_zpid/ | For Sale"
"2629 Magnolia St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","149900","","https://www.zillow.com/homedetails/2629-Magnolia-St-Columbia-SC-29204/11689472_zpid/ | For Sale"
"1817 Neptune Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","232000","","https://www.zillow.com/homedetails/1817-Neptune-Dr-Columbia-SC-29209/11725378_zpid/ | For Sale"
"1002 Eastman St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","160000","","https://www.zillow.com/homedetails/1002-Eastman-St-Columbia-SC-29203/11693768_zpid/ | For Sale"
"230 Bishopgate Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","289900","","https://www.zillow.com/homedetails/230-Bishopgate-Rd-Columbia-SC-29212/11191942_zpid/ | For Sale"
"705 W Campanella St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","139900","","https://www.zillow.com/homedetails/705-W-Campanella-St-Columbia-SC-29203/462114507_zpid/ | For Sale"
"12 Sea Hawk Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","174999","","https://www.zillow.com/homedetails/12-Sea-Hawk-Ct-Columbia-SC-29203/67409154_zpid/ | For Sale | Agent: Ponce Realty Group"
"161 Jefferson Pl, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","184000","","https://www.zillow.com/homedetails/161-Jefferson-Pl-Columbia-SC-29212/11192236_zpid/ | Townhouse"
"604 Castle Ridge Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/604-Castle-Ridge-Dr-Columbia-SC-29229/55195654_zpid/ | FSBO"
"64 Salers Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/64-Salers-Ln-Columbia-SC-29209/300048363_zpid/ | For Sale"
"3815 Webb Ct, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","190000","","https://www.zillow.com/homedetails/3815-Webb-Ct-Columbia-SC-29204/11692772_zpid/ | For Sale"
"307 Spartan Dr, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","210000","","https://www.zillow.com/homedetails/307-Spartan-Dr-Columbia-SC-29212/11190825_zpid/ | For Sale"
"3805 Trotter Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","155000","","https://www.zillow.com/homedetails/3805-Trotter-Rd-Columbia-SC-29209/11735153_zpid/ | For Sale"
"2713 Trull St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","155000","","https://www.zillow.com/homedetails/2713-Trull-St-Columbia-SC-29204/11690350_zpid/ | For Sale"
"953 Texas St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/953-Texas-St-Columbia-SC-29201/11682034_zpid/ | For Sale"
"2350 Center St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","285000","","https://www.zillow.com/homedetails/2350-Center-St-Columbia-SC-29204/11689411_zpid/ | For Sale"
"38 Dovecreek, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","250000","","https://www.zillow.com/homedetails/38-Dovecreek-Columbia-SC-29229/11740999_zpid/ | For Sale"
"351 Elders Pond Cir, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","194900","","https://www.zillow.com/homedetails/351-Elders-Pond-Cir-Columbia-SC-29229/71270894_zpid/ | For Sale"
"304 Stanford St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","149900","","https://www.zillow.com/homedetails/304-Stanford-St-Columbia-SC-29203/11694658_zpid/ | For Sale"
"5 Durango Cir, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","260000","","https://www.zillow.com/homedetails/5-Durango-Cir-Columbia-SC-29203/11712979_zpid/ | For Sale"
"2237 Kingswood Dr, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","199000","","https://www.zillow.com/homedetails/2237-Kingswood-Dr-Columbia-SC-29205/11682885_zpid/ | For Sale"
"570 Kimpton Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","269000","","https://www.zillow.com/homedetails/570-Kimpton-Dr-Columbia-SC-29223/246224662_zpid/ | For Sale"
"115 Woodwinds West Dr, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/115-Woodwinds-West-Dr-Columbia-SC-29212/11193119_zpid/ | For Sale"
"125 N Lake Pointe Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","199000","","https://www.zillow.com/homedetails/125-N-Lake-Pointe-Dr-Columbia-SC-29229/11738333_zpid/ | For Sale"
"1720 Morninghill Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/1720-Morninghill-Dr-Columbia-SC-29210/11670090_zpid/ | For Sale | Agent: Re/Max Summit"
"217 S Shields Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","249900","","https://www.zillow.com/homedetails/217-S-Shields-Rd-Columbia-SC-29223/11729439_zpid/ | For Sale"
"1522 Hibiscus St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","170000","","https://www.zillow.com/homedetails/1522-Hibiscus-St-Columbia-SC-29205/11698384_zpid/ | For Sale"
"311 Spartan Dr, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/311-Spartan-Dr-Columbia-SC-29212/11190824_zpid/ | For Sale"
"527 Providence Crossing Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/527-Providence-Crossing-Dr-Columbia-SC-29203/67618639_zpid/ | For Sale"
"517 Windjammer Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","293500","","https://www.zillow.com/homedetails/517-Windjammer-Ln-Columbia-SC-29229/121956874_zpid/ | For Sale"
"200 Gate Post Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/200-Gate-Post-Ln-Columbia-SC-29223/67601625_zpid/ | Townhouse"
"119 Bosworth Field Ct, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","245000","","https://www.zillow.com/homedetails/119-Bosworth-Field-Ct-Columbia-SC-29212/11188176_zpid/ | For Sale"
"3521 Ragsdale Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","139900","","https://www.zillow.com/homedetails/3521-Ragsdale-Dr-Columbia-SC-29209/11735686_zpid/ | For Sale"
"2027 Leesburg Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/2027-Leesburg-Rd-Columbia-SC-29209/11725705_zpid/ | For Sale"
"316 Legend Oaks Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","199000","","https://www.zillow.com/homedetails/316-Legend-Oaks-Dr-Columbia-SC-29229/88011611_zpid/ | For Sale"
"647 Delverton Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/647-Delverton-Rd-Columbia-SC-29203/11680281_zpid/ | For Sale"
"708 Wilmette Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","209900","","https://www.zillow.com/homedetails/708-Wilmette-Rd-Columbia-SC-29203/11695922_zpid/ | For Sale"
"6740 Frances St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","204900","","https://www.zillow.com/homedetails/6740-Frances-St-Columbia-SC-29209/11714995_zpid/ | For Sale"
"1253 Rabon Pond Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/1253-Rabon-Pond-Dr-Columbia-SC-29223/121966459_zpid/ | For Sale"
"130 Brandon Hall Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","269000","","https://www.zillow.com/homedetails/130-Brandon-Hall-Rd-Columbia-SC-29229/67601521_zpid/ | For Sale"
"123 Mill Creek Pkwy, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","275000","","https://www.zillow.com/homedetails/123-Mill-Creek-Pkwy-Columbia-SC-29209/11724221_zpid/ | For Sale"
"8416 Little John Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","170000","","https://www.zillow.com/homedetails/8416-Little-John-Dr-Columbia-SC-29209/11724146_zpid/ | For Sale"
"1515 Rushmore Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","229999","","https://www.zillow.com/homedetails/1515-Rushmore-Rd-Columbia-SC-29210/11673179_zpid/ | For Sale"
"1909 Mitchell St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","199000","","https://www.zillow.com/homedetails/1909-Mitchell-St-Columbia-SC-29205/11682441_zpid/ | For Sale"
"721 Meadowlake Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","180500","","https://www.zillow.com/homedetails/721-Meadowlake-Dr-Columbia-SC-29203/11695668_zpid/ | For Sale"
"104 Green Tree Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","74000","","https://www.zillow.com/homedetails/104-Green-Tree-Dr-Columbia-SC-29203/11695607_zpid/ | For Sale"
"509 Ridge Trail Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","232000","","https://www.zillow.com/homedetails/509-Ridge-Trail-Dr-Columbia-SC-29229/11741138_zpid/ | For Sale"
"3414 Maybank St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","119500","","https://www.zillow.com/homedetails/3414-Maybank-St-Columbia-SC-29204/11692739_zpid/ | For Sale"
"4 Gardenwood Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","159500","","https://www.zillow.com/homedetails/4-Gardenwood-Ct-Columbia-SC-29209/11734861_zpid/ | Townhouse"
"924 Stebondale Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/924-Stebondale-Rd-Columbia-SC-29203/11692867_zpid/ | For Sale"
"231 Gayle Pond Trce, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","265000","","https://www.zillow.com/homedetails/231-Gayle-Pond-Trce-Columbia-SC-29209/67608957_zpid/ | For Sale"
"1700 N Woodstream Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","275000","","https://www.zillow.com/homedetails/1700-N-Woodstream-Rd-Columbia-SC-29212/11191584_zpid/ | For Sale"
"146 Brook Hollow Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","282500","","https://www.zillow.com/homedetails/146-Brook-Hollow-Dr-Columbia-SC-29229/11731935_zpid/ | For Sale"
"106 Avebury Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","180000","","https://www.zillow.com/homedetails/106-Avebury-Ln-Columbia-SC-29229/61363666_zpid/ | For Sale"
"190 Morningside Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","156500","","https://www.zillow.com/homedetails/190-Morningside-Dr-Columbia-SC-29210/11670789_zpid/ | For Sale"
"414 Angel Grove Ln, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","167000","","https://www.zillow.com/homedetails/414-Angel-Grove-Ln-Columbia-SC-29210/309259926_zpid/ | Townhouse"
"121 Moone Cross Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","194900","","https://www.zillow.com/homedetails/121-Moone-Cross-Dr-Columbia-SC-29209/11735977_zpid/ | For Sale"
"232 Twin Oaks Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/232-Twin-Oaks-Ln-Columbia-SC-29209/92390151_zpid/ | For Sale"
"104 Rolling Knoll Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","219000","","https://www.zillow.com/homedetails/104-Rolling-Knoll-Dr-Columbia-SC-29229/11733050_zpid/ | For Sale"
"113 Wescott Pl, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/113-Wescott-Pl-Columbia-SC-29229/67616027_zpid/ | Townhouse"
"200 Kingston Trace Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","189900","","https://www.zillow.com/homedetails/200-Kingston-Trace-Rd-Columbia-SC-29229/62990915_zpid/ | For Sale"
"314 Glenn Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","204000","","https://www.zillow.com/homedetails/314-Glenn-Ave-Columbia-SC-29203/11678256_zpid/ | For Sale"
"132 Flora Springs Cir, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","265000","","https://www.zillow.com/homedetails/132-Flora-Springs-Cir-Columbia-SC-29223/118550326_zpid/ | For Sale"
"30 Ward Ct, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/30-Ward-Ct-Columbia-SC-29223/11711308_zpid/ | For Sale"
"319 Brook Hollow Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/319-Brook-Hollow-Dr-Columbia-SC-29229/11732221_zpid/ | For Sale"
"940 Rosedale Arch, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/940-Rosedale-Arch-Columbia-SC-29203/11693043_zpid/ | For Sale"
"10 Mystic Way Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/10-Mystic-Way-Dr-Columbia-SC-29229/11741168_zpid/ | For Sale"
"203 May Oak Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/203-May-Oak-Rd-Columbia-SC-29229/55195185_zpid/ | For Sale"
"218 Gate Post Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","193500","","https://www.zillow.com/homedetails/218-Gate-Post-Ln-Columbia-SC-29223/67601632_zpid/ | Townhouse"
"400 Stanford St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","99000","","https://www.zillow.com/homedetails/400-Stanford-St-Columbia-SC-29203/11694995_zpid/ | For Sale"
"3208 Bush River Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/3208-Bush-River-Rd-Columbia-SC-29210/11199909_zpid/ | For Sale"
"2530 Marling Dr, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","195000","","https://www.zillow.com/homedetails/2530-Marling-Dr-Columbia-SC-29204/11690118_zpid/ | For Sale"
"875 Killian Station Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/875-Killian-Station-Dr-Columbia-SC-29229/88008765_zpid/ | For Sale"
"324 Trowbridge Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","209900","","https://www.zillow.com/homedetails/324-Trowbridge-Rd-Columbia-SC-29229/11732791_zpid/ | For Sale"
"1115 Gardendale Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","290000","","https://www.zillow.com/homedetails/1115-Gardendale-Dr-Columbia-SC-29210/11201117_zpid/ | For Sale"
"1015 Greenlawn Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","179900","","https://www.zillow.com/homedetails/1015-Greenlawn-Dr-Columbia-SC-29209/11715127_zpid/ | For Sale"
"721 Vernon St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","114900","","https://www.zillow.com/homedetails/721-Vernon-St-Columbia-SC-29203/11693490_zpid/ | For Sale"
"527 Summit Terrace Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","154900","","https://www.zillow.com/homedetails/527-Summit-Terrace-Ct-Columbia-SC-29229/71270983_zpid/ | For Sale"
"6006 McMillan Cir, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/6006-McMillan-Cir-Columbia-SC-29212/11191370_zpid/ | For Sale"
"196 Cottage Lake Way, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","219000","","https://www.zillow.com/homedetails/196-Cottage-Lake-Way-Columbia-SC-29209/80994359_zpid/ | For Sale"
"398 Fox Squirrel Cir, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","247000","","https://www.zillow.com/homedetails/398-Fox-Squirrel-Cir-Columbia-SC-29209/88012426_zpid/ | For Sale"
"1033 Rabon Pond Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","190000","","https://www.zillow.com/homedetails/1033-Rabon-Pond-Dr-Columbia-SC-29223/110215462_zpid/ | For Sale"
"100 Cottage Lake Way, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","209900","","https://www.zillow.com/homedetails/100-Cottage-Lake-Way-Columbia-SC-29209/81058247_zpid/ | For Sale"
"7909 Sagebrook Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/7909-Sagebrook-Rd-Columbia-SC-29223/11721847_zpid/ | For Sale"
"116 Larchwood Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","70000","","https://www.zillow.com/homedetails/116-Larchwood-Dr-Columbia-SC-29203/11694799_zpid/ | For Sale"
"2532 Parkwood Dr, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","295000","","https://www.zillow.com/homedetails/2532-Parkwood-Dr-Columbia-SC-29204/11690149_zpid/ | For Sale"
"241 Chartwell Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","214900","","https://www.zillow.com/homedetails/241-Chartwell-Rd-Columbia-SC-29210/11669997_zpid/ | For Sale"
"7528 Terry St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","154900","","https://www.zillow.com/homedetails/7528-Terry-St-Columbia-SC-29209/11724287_zpid/ | For Sale"
"213 Elders Pond Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","223000","","https://www.zillow.com/homedetails/213-Elders-Pond-Dr-Columbia-SC-29229/55194312_zpid/ | For Sale"
"2024 Elmridge Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","290000","","https://www.zillow.com/homedetails/2024-Elmridge-Rd-Columbia-SC-29209/2067361451_zpid/ | For Sale"
"3224 Bronx Rd, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/3224-Bronx-Rd-Columbia-SC-29204/11692749_zpid/ | For Sale"
"231 Sparkleberry Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","244900","","https://www.zillow.com/homedetails/231-Sparkleberry-Ln-Columbia-SC-29229/11738035_zpid/ | For Sale"
"960 Zimalcrest Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","224900","","https://www.zillow.com/homedetails/960-Zimalcrest-Dr-Columbia-SC-29210/300044230_zpid/ | For Sale"
"413 Autumn Run Cir, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","205000","","https://www.zillow.com/homedetails/413-Autumn-Run-Cir-Columbia-SC-29229/61363824_zpid/ | For Sale"
"137 Westbridge Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","185000","","https://www.zillow.com/homedetails/137-Westbridge-Rd-Columbia-SC-29223/11722270_zpid/ | For Sale"
"5222 Mauldin Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","125000","","https://www.zillow.com/homedetails/5222-Mauldin-Ave-Columbia-SC-29203/11691758_zpid/ | For Sale"
"324 Bombing Range Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","194900","","https://www.zillow.com/homedetails/324-Bombing-Range-Rd-Columbia-SC-29229/62990963_zpid/ | For Sale"
"145 Patio Pl, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/145-Patio-Pl-Columbia-SC-29212/11668720_zpid/ | For Sale"
"223 Northwood St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/223-Northwood-St-Columbia-SC-29201/121971166_zpid/ | Townhouse"
"277 Piney Grove Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","189900","","https://www.zillow.com/homedetails/277-Piney-Grove-Rd-Columbia-SC-29210/11195687_zpid/ | For Sale"
"499 Glacier Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","249000","","https://www.zillow.com/homedetails/499-Glacier-Way-Columbia-SC-29229/121967777_zpid/ | For Sale"
"326 Townes Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","285900","","https://www.zillow.com/homedetails/326-Townes-Rd-Columbia-SC-29210/11195218_zpid/ | For Sale"
"249 Knight Valley Cir, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","265000","","https://www.zillow.com/homedetails/249-Knight-Valley-Cir-Columbia-SC-29209/121953731_zpid/ | For Sale"
"304 Glen Knoll Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/304-Glen-Knoll-Dr-Columbia-SC-29229/67601586_zpid/ | For Sale"
"3741 Humphrey Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","210000","","https://www.zillow.com/homedetails/3741-Humphrey-Dr-Columbia-SC-29223/11711236_zpid/ | For Sale"
"2815 Wesley Dr, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","155000","","https://www.zillow.com/homedetails/2815-Wesley-Dr-Columbia-SC-29204/11689778_zpid/ | For Sale"
"80 N Lake Pointe Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","174500","","https://www.zillow.com/homedetails/80-N-Lake-Pointe-Dr-Columbia-SC-29229/11738301_zpid/ | Townhouse"
"1731 Cermack St, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","189900","","https://www.zillow.com/homedetails/1731-Cermack-St-Columbia-SC-29223/11719430_zpid/ | For Sale"
"303 Bassett Loop, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/303-Bassett-Loop-Columbia-SC-29229/71263732_zpid/ | For Sale"
"1513 Alpha Ct, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","179000","","https://www.zillow.com/homedetails/1513-Alpha-Ct-Columbia-SC-29223/11726849_zpid/ | For Sale"
"515 Summit Terrace Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","154900","","https://www.zillow.com/homedetails/515-Summit-Terrace-Ct-Columbia-SC-29229/71270977_zpid/ | For Sale"
"5 Larkin Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","204900","","https://www.zillow.com/homedetails/5-Larkin-Ct-Columbia-SC-29203/11681489_zpid/ | For Sale"
"3717 Lochmore Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","159000","","https://www.zillow.com/homedetails/3717-Lochmore-Dr-Columbia-SC-29209/11735122_zpid/ | For Sale"
"217 Aster Cir, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","170000","","https://www.zillow.com/homedetails/217-Aster-Cir-Columbia-SC-29201/11697475_zpid/ | FSBO"
"219 Finsbury Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","257000","","https://www.zillow.com/homedetails/219-Finsbury-Rd-Columbia-SC-29212/11188219_zpid/ | For Sale"
"413 Seton Hall Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/413-Seton-Hall-Dr-Columbia-SC-29223/11732137_zpid/ | For Sale | Agent: Belle Realty and Associates"
"1005 Wildwood Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/1005-Wildwood-Ave-Columbia-SC-29203/300044451_zpid/ | For Sale"
"320 Sawtimber Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","154900","","https://www.zillow.com/homedetails/320-Sawtimber-Ln-Columbia-SC-29209/11735885_zpid/ | For Sale"
"3905 Lamar St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","185000","","https://www.zillow.com/homedetails/3905-Lamar-St-Columbia-SC-29203/11678735_zpid/ | For Sale"
"2000 Elmridge Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","279900","","https://www.zillow.com/homedetails/2000-Elmridge-Rd-Columbia-SC-29209/2067361781_zpid/ | For Sale"
"149 Angel Garden Way, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","214000","","https://www.zillow.com/homedetails/149-Angel-Garden-Way-Columbia-SC-29223/92396392_zpid/ | For Sale"
"5204 Glenmount St, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","257500","","https://www.zillow.com/homedetails/5204-Glenmount-St-Columbia-SC-29212/11190794_zpid/ | For Sale"
