"Tier","Status","Address","City","ZIP","Beds","Baths","Agent","Phone","Brokerage","Action","ZillowURL"
"4-Auction (separate)","Auction","12787 Danya Dr, Denham Springs, LA 70726","Denham Springs","70726","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/12787-Danya-Dr-Denham-Springs-LA-70726/77690640_zpid/"
"4-Auction (separate)","Auction","39459 Babin Rd, Gonzales, LA 70737","Gonzales","70737","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/39459-Babin-Rd-Gonzales-LA-70737/1454814_zpid/"
"4-Auction (separate)","Auction","2625 77th Ave, Baton Rouge, LA 70807","Baton Rouge","70807","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/2625-77th-Ave-Baton-Rouge-LA-70807/66242512_zpid/"
"4-Auction (separate)","Auction","14328 Lake Path Dr, Prairieville, LA 70769","Prairieville","70769","4","4","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/14328-Lake-Path-Dr-Prairieville-LA-70769/82308247_zpid/"
"4-Auction (separate)","Auction","4220 Fleet Dr, Baton Rouge, LA 70809","Baton Rouge","70809","3","3","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4220-Fleet-Dr-Baton-Rouge-LA-70809/66360209_zpid/"
"4-Auction (separate)","Auction","2014 E Parlange St, Gonzales, LA 70737","Gonzales","70737","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/2014-E-Parlange-St-Gonzales-LA-70737/1457061_zpid/"
"4-Auction (separate)","Auction","1845 Fountain Ave, Baton Rouge, LA 70810","Baton Rouge","70810","2","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1845-Fountain-Ave-Baton-Rouge-LA-70810/66375531_zpid/"
"4-Auction (separate)","Auction","23798 Rosemont Dr, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/23798-Rosemont-Dr-Denham-Springs-LA-70726/110900117_zpid/"
"4-Auction (separate)","Auction","37035 Murphy Webb Rd, Prairieville, LA 70769","Prairieville","70769","6","4","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/37035-Murphy-Webb-Rd-Prairieville-LA-70769/458031016_zpid/"
"4-Auction (separate)","Auction","26035 John L Ln, Denham Springs, LA 70726","Denham Springs","70726","3","2","Chip Julien","504-931-9395","Donald Julien & Associates, Inc.","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/26035-John-L-Ln-Denham-Springs-LA-70726/110879309_zpid/"
"4-Auction (separate)","Auction","4666 Idlewood Dr, Baton Rouge, LA 70809","Baton Rouge","70809","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4666-Idlewood-Dr-Baton-Rouge-LA-70809/66351376_zpid/"
"4-Auction (separate)","Auction","3414 Iroquois St, Baton Rouge, LA 70805","Baton Rouge","70805","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/3414-Iroquois-St-Baton-Rouge-LA-70805/66234574_zpid/"
"4-Auction (separate)","Auction","6110 Glen Echo Dr, Baton Rouge, LA 70812","Baton Rouge","70812","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/6110-Glen-Echo-Dr-Baton-Rouge-LA-70812/66329146_zpid/"
"4-Auction (separate)","Auction","9310 Jefferson Hwy, Baton Rouge, LA 70809","Baton Rouge","70809","2","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/9310-Jefferson-Hwy-Baton-Rouge-LA-70809/66284659_zpid/"
"4-Auction (separate)","Auction","34232 Fountain View Dr, Walker, LA 70785","Walker","70785","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/34232-Fountain-View-Dr-Walker-LA-70785/110883845_zpid/"
"4-Auction (separate)","Auction","1027 Bruce Dr, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1027-Bruce-Dr-Denham-Springs-LA-70726/110920472_zpid/"
"4-Auction (separate)","Auction","22302 Teal St, Maurepas, LA 70449","Maurepas","70449","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/22302-Teal-St-Maurepas-LA-70449/337480749_zpid/"
"4-Auction (separate)","Auction","34297 Hawks Cv, Denham Springs, LA 70706","Denham Springs","70706","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/34297-Hawks-Cv-Denham-Springs-LA-70706/2089814648_zpid/"
"4-Auction (separate)","Auction","2623 Old Towne Rd, Zachary, LA 70791","Zachary","70791","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/2623-Old-Towne-Rd-Zachary-LA-70791/66809619_zpid/"
"4-Auction (separate)","Auction","5755 Byron St, Baton Rouge, LA 70805","Baton Rouge","70805","3","1","Jeff Furniss","225-925-2500","Coldwell Banker ONE","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/5755-Byron-St-Baton-Rouge-LA-70805/66242430_zpid/"
"4-Auction (separate)","Auction","1719 Fox Croft Blvd, Baton Rouge, LA 70815","Baton Rouge","70815","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1719-Fox-Croft-Blvd-Baton-Rouge-LA-70815/66289040_zpid/"
"4-Auction (separate)","Auction","57830 Meriam St, Plaquemine, LA 70764","Plaquemine","70764","1","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/57830-Meriam-St-Plaquemine-LA-70764/233430988_zpid/"
"4-Auction (separate)","Auction","13930 J R Dr, Walker, LA 70785","Walker","70785","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/13930-J-R-Dr-Walker-LA-70785/110916056_zpid/"
"4-Auction (separate)","Auction","6142 Sandy Creek Ln, Zachary, LA 70791","Zachary","70791","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/6142-Sandy-Creek-Ln-Zachary-LA-70791/66390228_zpid/"
"4-Auction (separate)","Auction","2017 Lac Cache Ct, Baton Rouge, LA 70816","Baton Rouge","70816","3","3","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/2017-Lac-Cache-Ct-Baton-Rouge-LA-70816/66381938_zpid/"
"4-Auction (separate)","Auction","8133 Royalwood Dr, Baton Rouge, LA 70806","Baton Rouge","70806","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/8133-Royalwood-Dr-Baton-Rouge-LA-70806/66293661_zpid/"
"4-Auction (separate)","Auction","10347 Taylor Sheets Jr Rd, Saint Amant, LA 70774","Saint Amant","70774","2","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/10347-Taylor-Sheets-Jr-Rd-Saint-Amant-LA-70774/2062157252_zpid/"
"4-Auction (separate)","Auction","25613 Palmwood Ct, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/25613-Palmwood-Ct-Denham-Springs-LA-70726/249353626_zpid/"
"4-Auction (separate)","Auction","28257 Natchez Trce, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/28257-Natchez-Trce-Denham-Springs-LA-70726/2070079980_zpid/"
"4-Auction (separate)","Auction","1451 Avenue G, Port Allen, LA 70767","Port Allen","70767","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1451-Avenue-G-Port-Allen-LA-70767/103934576_zpid/"
"4-Auction (separate)","Auction","6045 S Howell Dr, Baton Rouge, LA 70805","Baton Rouge","70805","2","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/6045-S-Howell-Dr-Baton-Rouge-LA-70805/66265179_zpid/"
"4-Auction (separate)","Auction","4426 Gibbens Payne Ave, Baker, LA 70714","Baker","70714","3","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4426-Gibbens-Payne-Ave-Baker-LA-70714/66337952_zpid/"
"4-Auction (separate)","Auction","226 Pinoak St, Denham Springs, LA 70726","Denham Springs","70726","2","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/226-Pinoak-St-Denham-Springs-LA-70726/110920366_zpid/"
"4-Auction (separate)","Auction","11343 Windsor Ave, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/11343-Windsor-Ave-Denham-Springs-LA-70726/110880519_zpid/"
"4-Auction (separate)","Auction","37338 Cornerview Rd, Geismar, LA 70734","Geismar","70734","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/37338-Cornerview-Rd-Geismar-LA-70734/1458468_zpid/"
"4-Auction (separate)","Auction","4241 Lassen Dr, Baton Rouge, LA 70814","Baton Rouge","70814","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4241-Lassen-Dr-Baton-Rouge-LA-70814/66306331_zpid/"
"4-Auction (separate)","Auction","1787 Brocade Dr, Baton Rouge, LA 70815","Baton Rouge","70815","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1787-Brocade-Dr-Baton-Rouge-LA-70815/66301100_zpid/"
"4-Auction (separate)","Auction","8952 Dalwood Dr, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/8952-Dalwood-Dr-Denham-Springs-LA-70726/2067274926_zpid/"
"4-Auction (separate)","Auction","3115 Toulon Dr #1, Baton Rouge, LA 70816","Baton Rouge","70816","2","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/3115-Toulon-Dr-1-Baton-Rouge-LA-70816/66385815_zpid/"
"4-Auction (separate)","Auction","39193 Majestic Wood Ave, Gonzales, LA 70737","Gonzales","70737","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/39193-Majestic-Wood-Ave-Gonzales-LA-70737/252165554_zpid/"
"4-Auction (separate)","Auction","6565 Sumrall Dr, Baton Rouge, LA 70812","Baton Rouge","70812","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/6565-Sumrall-Dr-Baton-Rouge-LA-70812/66334833_zpid/"
"4-Auction (separate)","Auction","34206 Hawks Cv, Denham Springs, LA 70706","Denham Springs","70706","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/34206-Hawks-Cv-Denham-Springs-LA-70706/110918182_zpid/"
"4-Auction (separate)","Auction","4907 Baker Blvd, Baker, LA 70714","Baker","70714","3","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4907-Baker-Blvd-Baker-LA-70714/66337359_zpid/"
"4-Auction (separate)","Auction","12361 Dutchtown Villa Dr, Geismar, LA 70734","Geismar","70734","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/12361-Dutchtown-Villa-Dr-Geismar-LA-70734/72218510_zpid/"
"4-Auction (separate)","Auction","13784 Fig Dr, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/13784-Fig-Dr-Denham-Springs-LA-70726/317116276_zpid/"
"4-Auction (separate)","Auction","24696 Eisenhower Dr #58610, Plaquemine, LA 70764","Plaquemine","70764","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/24696-Eisenhower-Dr-58610-Plaquemine-LA-70764/457602499_zpid/"
"4-Auction (separate)","Auction","4142 Country Hill Dr, Baton Rouge, LA 70816","Baton Rouge","70816","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4142-Country-Hill-Dr-Baton-Rouge-LA-70816/66375478_zpid/"
"4-Auction (separate)","Auction","16252 Crepemyrtle Dr, Baton Rouge, LA 70817","Baton Rouge","70817","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/16252-Crepemyrtle-Dr-Baton-Rouge-LA-70817/66268434_zpid/"
"4-Auction (separate)","Auction","12389 Foxglove Ave, Walker, LA 70785","Walker","70785","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/12389-Foxglove-Ave-Walker-LA-70785/439736889_zpid/"
"4-Auction (separate)","Auction","10665 Black Oak Dr, Baton Rouge, LA 70815","Baton Rouge","70815","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/10665-Black-Oak-Dr-Baton-Rouge-LA-70815/66301827_zpid/"
"4-Auction (separate)","Auction","3527 Ocala Ave, Baton Rouge, LA 70814","Baton Rouge","70814","4","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/3527-Ocala-Ave-Baton-Rouge-LA-70814/66271717_zpid/"
"4-Auction (separate)","Auction","10628 Northdale Dr, Baton Rouge, LA 70811","Baton Rouge","70811","4","3","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/10628-Northdale-Dr-Baton-Rouge-LA-70811/66328712_zpid/"
"4-Auction (separate)","Auction","4232 Wimbish Dr, Baker, LA 70714","Baker","70714","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4232-Wimbish-Dr-Baker-LA-70714/66338106_zpid/"
"4-Auction (separate)","Auction","13341 Benelli Dr Lot 137, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/13341-Benelli-Dr-LOT-137-Denham-Springs-LA-70726/462114237_zpid/"
"4-Auction (separate)","Auction","39086 Old Bayou Ave, Gonzales, LA 70737","Gonzales","70737","3","3","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/39086-Old-Bayou-Ave-Gonzales-LA-70737/72225837_zpid/"
"4-Auction (separate)","Auction","5369 Green Ridge Dr, Baton Rouge, LA 70814","Baton Rouge","70814","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/5369-Green-Ridge-Dr-Baton-Rouge-LA-70814/66365051_zpid/"
"4-Auction (separate)","Auction","1306 Roundhill Dr, Baton Rouge, LA 70810","Baton Rouge","70810","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1306-Roundhill-Dr-Baton-Rouge-LA-70810/66295087_zpid/"
"4-Auction (separate)","Auction","25889 Regency Ave, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/25889-Regency-Ave-Denham-Springs-LA-70726/110887008_zpid/"
"4-Auction (separate)","Auction","4665 W Green Ridge Dr, Baton Rouge, LA 70814","Baton Rouge","70814","4","3","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4665-W-Green-Ridge-Dr-Baton-Rouge-LA-70814/66355401_zpid/"
"4-Auction (separate)","Auction","4075 Edgemont Dr, Baton Rouge, LA 70814","Baton Rouge","70814","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4075-Edgemont-Dr-Baton-Rouge-LA-70814/66303361_zpid/"
"4-Auction (separate)","Auction","5788 McClelland Dr, Baton Rouge, LA 70805","Baton Rouge","70805","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/5788-McClelland-Dr-Baton-Rouge-LA-70805/66263110_zpid/"
"4-Auction (separate)","Auction","4523 Evangeline St, Baton Rouge, LA 70805","Baton Rouge","70805","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/4523-Evangeline-St-Baton-Rouge-LA-70805/66256522_zpid/"
